tick,reward,values,next_values,target_values,loss
1.0,-0.1467898041009903,0.10658884048461914,0.5167721509933472,0.3648145794868469,0.3361390233039856
2.0,-0.1467898041009903,0.10577897727489471,0.5167720913887024,0.3648146390914917,0.32715508341789246
3.0,-0.1467898190021515,0.10501453280448914,0.5167721509933472,0.3648146390914917,0.3183957636356354
4.0,-0.1467898041009903,0.10426837205886841,0.5167721509933472,0.3648146092891693,0.30986082553863525
5.0,-0.1467898190021515,0.1035347580909729,0.5167722105979919,0.3648146390914917,0.30155062675476074
6.0,-0.1467898190021515,0.10282362997531891,0.5167720913887024,0.3648146092891693,0.2934650480747223
7.0,-0.1467898041009903,0.10215017199516296,0.5167721509933472,0.3648146092891693,0.285602867603302
8.0,-0.1467898190021515,0.10153168439865112,0.5167721509933472,0.3648146092891693,0.2779620289802551
9.0,-0.1467898041009903,0.10098282992839813,0.5167721509933472,0.3648146092891693,0.2705392837524414
10.0,-0.1467898190021515,0.10051063448190689,0.5167720913887024,0.3648146092891693,0.26333123445510864
11.0,-0.14678983390331268,0.100114606320858,0.5167721509933472,0.3648146390914917,0.25633445382118225
12.0,-0.1467898041009903,0.09979084134101868,0.5167721509933472,0.3648146092891693,0.24954579770565033
13.0,-0.1467898041009903,0.09953617304563522,0.5167721509933472,0.3648146092891693,0.2429620921611786
14.0,-0.1467898190021515,0.0993499755859375,0.5167721509933472,0.3648146092891693,0.23657990992069244
15.0,-0.1467898190021515,0.09923393279314041,0.5167721509933472,0.3648146390914917,0.23039525747299194
16.0,-0.1467898041009903,0.0991915762424469,0.5167721509933472,0.3648146092891693,0.22440387308597565
17.0,-0.1467898190021515,0.09922704845666885,0.5167721509933472,0.3648146092891693,0.218600794672966
18.0,-0.1467898041009903,0.09934456646442413,0.5167721509933472,0.3648146390914917,0.21298086643218994
19.0,-0.1467898041009903,0.09954783320426941,0.5167721509933472,0.3648146390914917,0.20753872394561768
20.0,-0.1467898041009903,0.09983999282121658,0.5167721509933472,0.3648146092891693,0.20226895809173584
21.0,-0.16759158670902252,0.10099665820598602,0.5162211656570435,0.3434673249721527,0.194808691740036
22.0,-0.16751091182231903,0.09861834347248077,0.5162893533706665,0.3436155617237091,0.19157777726650238
23.0,-0.16775982081890106,0.09918016195297241,0.5161280632019043,0.3432069420814514,0.1858850121498108
24.0,-0.1676977127790451,0.10029775649309158,0.5162853598594666,0.34342482686042786,0.1793321669101715
25.0,-0.1676977127790451,0.10022970288991928,0.5162853002548218,0.34342479705810547,0.1747254580259323
26.0,-0.16763170063495636,0.10019735991954803,0.5160399675369263,0.3432478606700897,0.17073769867420197
27.0,-0.1673763394355774,0.1008889302611351,0.5162630081176758,0.34372401237487793,0.16643239557743073
