#####################################################################
# Alchemist log file - simulation started at: 2024-11-17T14:55+0000 #
#####################################################################
#
# seed = 3.0, globalRound = 6, randomAugmentedSeed = 10006
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] totalCost[min] totalCost[max] totalCost[mean] totalCost[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0034799025851850462 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.003479902585185 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0
2.003479902585185 NaN NaN NaN NaN 4192.8378378378375 4192.8378378378375 4192.8378378378375 0.0 NaN NaN NaN NaN 99.82947232947232 99.82947232947232 99.82947232947232 0.0 0.0 0.0 0.0 0.0
3.003479902585185 NaN NaN NaN NaN 4185.675675675675 4192.8378378378375 4186.365427927927 4.302907529439084 0.0 1.0 0.875 0.10106382978723404 99.65894465894463 99.82947232947232 99.67536733161731 0.0024392899826755163 0.0 0.5555555555555555 0.15555555555555553 0.05192901234567898
4.003479902585185 NaN NaN NaN NaN 4178.513513513512 4192.8378378378375 4180.135135135134 17.98408529288557 0.0 1.0 0.875 0.10106382978723404 99.48841698841696 99.82947232947232 99.527027027027 0.010195059689844863 0.055555555555555546 1.1111111111111112 0.37222222222222223 0.17731481481481487
5.003479902585185 NaN NaN NaN NaN 4171.35135135135 4192.8378378378375 4173.904842342341 42.498204609157064 0.0 1.0 0.875 0.10106382978723404 99.31788931788928 99.82947232947232 99.3786867224367 0.02409195272627978 0.08333333333333331 1.6666666666666667 0.5888888888888889 0.39097222222222233
6.003479902585185 NaN NaN NaN NaN 4164.189189189187 4192.8378378378375 4167.674549549548 77.84526547825357 0.0 1.0 0.875 0.10106382978723404 99.14736164736159 99.82947232947232 99.23034641784636 0.04412996909198222 0.11111111111111109 2.2222222222222223 0.8055555555555556 0.6929012345679014
7.003479902585185 NaN NaN NaN NaN 4157.027027027025 4192.8378378378375 4161.444256756755 124.02526790017505 0.0 1.0 0.875 0.10106382978723404 98.97683397683392 99.82947232947232 99.08200611325606 0.07030910878694914 0.13888888888888887 2.7777777777777777 1.0222222222222221 1.0831018518518518
8.003479902585184 -1.35 0.00 -1.19 0.160 4149.864864864862 4192.8378378378375 4155.121058558556 177.39011204277088 0.0 1.0 0.875 0.11170212765957446 98.80630630630624 99.82947232947232 98.93145377520372 0.10056128800610734 0.2222222222222222 3.0555555555555554 1.1888888888888889 1.265972222222222
9.003479902585184 -1.35 0.00 -1.19 0.160 4142.7027027027 4192.8378378378375 4148.854166666664 243.60613398766725 0.0 1.0 0.875 0.11170212765957446 98.63577863577856 99.82947232947232 98.782242063492 0.13809871541251056 0.3055555555555555 3.3333333333333335 1.3555555555555554 1.469675925925926
10.003479902585184 -1.35 0.00 -1.19 0.160 4135.540540540537 4192.8378378378375 4142.587274774772 321.28202724723764 0.0 1.0 0.875 0.11170212765957446 98.46525096525089 99.82947232947232 98.63303035178029 0.1821326685075041 0.38888888888888884 3.611111111111111 1.5222222222222221 1.694212962962963
11.003479902585184 -1.35 0.00 -1.19 0.160 4128.378378378375 4192.8378378378375 4136.32038288288 410.41779182148224 0.0 1.0 0.875 0.11170212765957446 98.29472329472321 99.82947232947232 98.48381864006856 0.23266314729108836 0.47222222222222215 3.888888888888889 1.6888888888888889 1.9395833333333337
12.003479902585184 -1.35 0.00 -1.19 0.160 4121.216216216212 4192.8378378378375 4130.0534909909875 511.01342771040095 0.0 1.0 0.875 0.11170212765957446 98.12419562419554 99.82947232947232 98.33460692835685 0.2896901517632631 0.5555555555555555 4.166666666666667 1.8555555555555554 2.2057870370370374
13.003479902585184 -1.35 0.00 -1.20 0.152 4114.05405405405 4192.8378378378375 4128.524774774772 531.2472478229246 0.0 1.0 0.13541666666666669 0.06105939716312058 97.95366795366785 99.82947232947232 98.29820892320885 0.3011605713281868 0.8333333333333333 6.388888888888889 2.5277777777777777 5.192901234567902
14.003479902585184 -1.35 0.00 -1.20 0.152 4106.891891891887 4192.8378378378375 4127.499999999996 546.419190898835 0.0 1.0 0.13541666666666669 0.06105939716312058 97.78314028314017 99.82947232947232 98.27380952380945 0.30976144608777456 1.3333333333333333 11.11111111111111 4.738888888888889 19.870216049382716
15.003479902585184 -1.35 0.00 -1.20 0.152 4099.729729729725 4192.8378378378375 4126.475225225222 568.7960099260266 0.0 1.0 0.13541666666666669 0.06105939716312058 97.6126126126125 99.82947232947232 98.24941012441005 0.32244671764513855 1.8333333333333333 15.833333333333332 6.949999999999999 46.27330246913579
16.003479902585184 -1.35 0.00 -1.20 0.152 4092.5675675675625 4192.8378378378375 4125.4504504504475 598.3777049044992 0.0 1.0 0.13541666666666669 0.06105939716312058 97.44208494208482 99.82947232947232 98.22501072501065 0.339216386000282 2.333333333333333 20.555555555555554 9.161111111111111 84.40216049382715
