#####################################################################
# Alchemist log file - simulation started at: 2024-10-25T10:51+0000 #
#####################################################################
#
# seed = 8.0, scenarioType = fulloffload
#
# The columns have the following meaning: 
# time batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] ComponentsExecutionCount[min] ComponentsExecutionCount[max] ComponentsExecutionCount[mean] ComponentsExecutionCount[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.04160524323250203 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0
2.0416052432325023 99.91214964365464 99.99899530731747 99.97198315743549 4.856579730859211E-4 4196.310285033495 4199.957802907334 4198.82329261229 0.8567006645236505 NaN NaN NaN NaN 3.0 13.0 6.8 17.200000000000003
3.0416052432325023 99.8721747876468 99.99198800535272 99.94617948375155 9.280286329338979E-4 4194.631341081165 4199.6634962248145 4197.739538317565 1.6370425084955673 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
4.041605243232502 99.80563713198997 99.97844019595841 99.92023454623255 0.001637449324565583 4191.836759543578 4199.094488230253 4196.649850941767 2.8884606085337117 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
5.041605243232502 99.8032178398309 99.97480446710865 99.89720477809045 0.0020403227743546635 4191.735149272898 4198.9417876185635 4195.682600679799 3.5991293739616164 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
6.041605243232502 99.76180142969737 99.96039098616653 99.87228160051059 0.0028707161381238302 4189.99566004729 4198.336421418994 4194.635827221445 5.063943267650265 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
7.041605243232502 99.72340426356139 99.94223943427333 99.84639693158317 0.002974198986766197 4188.382979069578 4197.57405623948 4193.548671126493 5.246487012655665 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
8.041605243232503 99.70007063101441 99.93242109022742 99.82012442954246 0.003603575219754004 4187.4029665026055 4197.1616857895515 4192.445226040783 6.356706687645971 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
9.041605243232503 99.67088947140523 99.92010002361481 99.79742509498963 0.004427602823308927 4186.17735779902 4196.644200991822 4191.491853989564 7.810291380317076 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
10.041605243232503 99.62352557752641 99.89450830393633 99.76852207450104 0.004896086988945465 4184.188074256109 4195.569348765326 4190.277927129044 8.636697448499987 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
11.041605243232503 99.60563699479276 99.87718105117375 99.74403545590026 0.005672392660288843 4183.436753781296 4194.841604149297 4189.249489147811 10.006100652749847 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
12.041605243232503 99.56466600239816 99.85255923137757 99.71860604125598 0.005530599459942822 4181.715972100723 4193.807487717858 4188.181453732751 9.755977447338898 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
13.041605243232503 99.52925310865984 99.83724772980787 99.69173624301018 0.006154836678061343 4180.2286305637135 4193.16440465193 4187.052922206428 10.857131900099848 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
14.041605243232503 99.48517115721452 99.80754250108876 99.66329871695028 0.007484744528206107 4178.37718860301 4191.916785045728 4185.858546111912 13.203089347755569 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
15.041605243232503 99.44088072832561 99.78126944471273 99.63639594699995 0.0075428579250273985 4176.5169905896755 4190.813316677934 4184.728629773998 13.30560137974833 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
16.041605243232503 99.35173534391785 99.76871686259102 99.61299561692796 0.00800062311796092 4172.77288444455 4190.286108228823 4183.745815910975 14.113099180082708 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
17.041605243232503 99.29551333360837 99.76205971937469 99.59085636344753 0.009201326485073255 4170.411560011552 4190.006508213737 4182.815967264796 16.23113991966912 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
18.041605243232503 99.23894429589026 99.7378568459986 99.5670115034644 0.00934002569644992 4168.035660427391 4188.989987531942 4181.814483145505 16.47580532853776 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
19.041605243232503 99.22290343999911 99.72525791850406 99.54368768083508 0.00883883249239539 4167.361944479963 4188.460832577171 4180.834882595073 15.591700516585247 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
20.041605243232503 99.20745167148482 99.6945543731388 99.51855486542871 0.009212624802596948 4166.712970202362 4187.17128367183 4179.779304348006 16.25107015178122 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
21.041605243232503 99.18883260095232 99.66451770509131 99.49479885057164 0.009316181923760517 4165.9309692399975 4185.909743613835 4178.781551724009 16.433744913514037 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
22.041605243232503 99.16761027116382 99.63865166451606 99.4657867858716 0.00925203611565313 4165.0396313888805 4184.8233699096745 4177.563045006607 16.32059170801195 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
23.041605243232503 99.14595329199975 99.62181832293737 99.43889622253054 0.010163949314376476 4164.130038263989 4184.1163695633695 4176.4336413462825 17.929206590560128 NaN NaN NaN NaN 6.0 14.0 9.6 10.3
