#####################################################################
# Alchemist log file - simulation started at: 2024-11-17T15:03+0000 #
#####################################################################
#
# seed = 0.0, scenarioType = fulloffloadedge
#
# The columns have the following meaning: 
# time batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] ComponentsExecutionCount[min] ComponentsExecutionCount[max] ComponentsExecutionCount[mean] ComponentsExecutionCount[variance] cost[min] cost[max] cost[mean] cost[variance] totalCost[min] totalCost[max] totalCost[mean] totalCost[variance] 
19.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 15.472222222222227 6.630952380952382 28.879556143445054
20.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 16.361111111111114 7.011904761904764 32.28828630217521
21.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 17.250000000000004 7.392857142857144 35.88719870664317
22.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 18.138888888888893 7.7738095238095255 39.67629335684893
23.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 19.027777777777782 8.154761904761907 43.655570252792494
24.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 19.91666666666667 8.535714285714288 47.82502939447386
25.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 20.80555555555556 8.91666666666667 52.18467078189303
26.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 21.69444444444445 9.29761904761905 56.734494415049994
27.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 22.58333333333334 9.67857142857143 61.47450029394477
28.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 23.47222222222223 10.059523809523812 66.40468841857734
29.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 24.361111111111118 10.440476190476193 71.5250587889477
30.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 25.250000000000007 10.821428571428575 76.83561140505589
31.001133733261245 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 26.138888888888896 11.202380952380956 82.33634626690186
32.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 27.027777777777786 11.583333333333336 88.02726337448564
33.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 27.916666666666675 11.964285714285717 93.90836272780723
34.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 28.805555555555564 12.345238095238098 99.9796443268666
35.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 29.694444444444454 12.72619047619048 106.24110817166381
36.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 30.583333333333343 13.107142857142861 112.69275426219878
37.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 31.472222222222232 13.48809523809524 119.33458259847156
38.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 32.36111111111112 13.869047619047622 126.16659318048214
39.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 33.25000000000001 14.250000000000002 133.18878600823052
40.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 34.13888888888889 14.630952380952383 140.40116108171665
41.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 35.02777777777778 15.011904761904763 147.80371840094062
42.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 35.916666666666664 15.392857142857144 155.39645796590239
43.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 36.80555555555555 15.773809523809524 163.17937977660196
44.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 37.694444444444436 16.1547619047619 171.15248383303933
45.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 38.58333333333332 16.53571428571428 179.3157701352145
46.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 39.47222222222221 16.916666666666664 187.66923868312742
47.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 40.36111111111109 17.297619047619044 196.21288947677817
48.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 41.24999999999998 17.678571428571423 204.94672251616677
49.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 42.138888888888864 18.059523809523803 213.87073780129313
50.00113373326124 100.0 100.0 100.0 0.0 4200.0 4200.0 4200.0 0.0 NaN NaN NaN NaN 0.0 16.0 6.857142857142857 30.809523809523807 1000.0 1000.0 1000.0 0.0 0.0 43.02777777777775 18.440476190476183 222.9849353321573
#####################################################################
# End of data export. Simulation finished at: 2024-11-17T15:03+0000 #
#####################################################################
