#####################################################################
# Alchemist log file - simulation started at: 2024-10-25T10:45+0000 #
#####################################################################
#
# seed = 4.0, neighborThreshold = 20, neighborSteps = 2
#
# The columns have the following meaning: 
# time batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] ComponentsExecutionCount[min] ComponentsExecutionCount[max] ComponentsExecutionCount[mean] ComponentsExecutionCount[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.004819367455573431 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
1.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0
2.0048193674555734 99.8280706832794 99.99998502663705 99.98172367259852 0.002775342138585762 4192.778968697735 4199.999371118756 4199.232394249138 4.895703532465171 NaN NaN NaN NaN 4.0 7.0 5.6 1.2999999999999998
3.0048193674555734 99.65628097713663 99.99991295431522 99.96340616083015 0.011081638025711776 4185.563801039739 4199.996344081239 4198.463058754866 19.548009477355315 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
4.004819367455573 99.48528696540039 99.99965542485576 99.94511961286659 0.024917083265819637 4178.382052546816 4199.985527843942 4197.695023740397 43.953734880905834 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
5.004819367455573 99.31423956029589 99.99953178865536 99.92685929206772 0.044363920587231535 4171.198061532427 4199.980335123525 4196.928090266844 78.25795591587692 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
6.004819367455573 99.14302283204006 99.9991604493627 99.90856167531705 0.06932732689294757 4164.0069589456825 4199.964738873234 4196.159590363316 122.29340463915875 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
7.004819367455573 98.97204202440452 99.99885973591478 99.89031882422921 0.09979401308722617 4156.82576502499 4199.952108908421 4195.393390617627 176.0366390858667 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
8.004819367455573 98.8013686655772 99.99855163375088 99.87199457143409 0.135786436278617 4149.657483954243 4199.939168617537 4194.623772000232 239.52727359548084 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
9.004819367455573 98.63063447287546 99.99838510323528 99.85369986886279 0.17734985761307206 4142.486647860769 4199.932174335881 4193.855394492237 312.84514882945876 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
10.004819367455573 98.45967754265772 99.99822474522827 99.8354483576854 0.2244754250212489 4135.3064567916235 4199.925439299587 4193.0888310227865 395.9746497374847 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
11.004819367455573 98.28904629051539 99.9977761408622 99.81720196167691 0.27713331058578716 4128.139944201646 4199.906597916212 4192.322482390431 488.8631598733266 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
12.004819367455573 98.11780239619202 99.9974191126464 99.79890467970536 0.3353664223086132 4120.947700640065 4199.891602731149 4191.553996547625 591.5863689523968 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
13.004819367455573 97.94679006568342 99.9972225580794 99.78065823358794 0.39908043823048067 4113.765182758703 4199.883347439335 4190.787645810693 703.9778930385671 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
14.004819367455573 97.7747034170836 99.99631421061652 99.76238460129488 0.468356998209778 4106.537543517511 4199.845196845894 4190.020153254385 826.1817448420485 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
15.004819367455573 97.60362592862072 99.99577209150696 99.74401605635522 0.5430982299985823 4099.35228900207 4199.822427843293 4189.24867436692 958.0252777174958 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
16.004819367455575 97.43272010918498 99.99575386641447 99.72583195592816 0.6233832891810566 4092.1742445857694 4199.821662389408 4188.484942148983 1099.6481221153845 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
17.004819367455575 97.26181752691956 99.99545000214762 99.70754418915017 0.7093984087360417 4084.9963361306213 4199.8089000902 4187.716855944307 1251.3787930103797 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
18.004819367455575 97.09039294084563 99.99450155701042 99.68927256091015 0.801015379533247 4077.796503515516 4199.769065394437 4186.949447558227 1412.9911294966473 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
19.004819367455575 96.9187687771135 99.99416199905802 99.67091624277609 0.8981139353353744 4070.5882886387667 4199.754803960437 4186.178482196596 1584.2729819316053 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
20.004819367455575 96.74793783012609 99.99377670971903 99.65265048754829 1.0005096485459593 4063.4133888652955 4199.738621808199 4185.411320477027 1764.8990200350738 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
21.004819367455575 96.57665852726184 99.99359421680212 99.63436862140246 1.1086377720800684 4056.219658144997 4199.730957105689 4184.643482098903 1955.6370299492428 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
22.004819367455575 96.40569203056818 99.9932032976024 99.61606151634865 1.2225226604226005 4049.0390652838637 4199.714538499301 4183.874583686644 2156.529972985468 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
23.004819367455575 96.23457593478122 99.99285623958303 99.59788740314411 1.3418445691759928 4041.852189260811 4199.699962062487 4183.111270932052 2367.0138200264532 NaN NaN NaN NaN 6.0 12.0 8.6 4.8
