#####################################################################
# Alchemist log file - simulation started at: 2024-11-12T10:07+0000 #
#####################################################################
#
# seed = 3.0, globalRound = 1
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.0016359619213666132 NaN NaN NaN NaN NaN NaN NaN NaN
1.0016359619213666 NaN NaN NaN NaN NaN NaN NaN NaN
2.001635961921367 NaN NaN NaN NaN NaN NaN NaN NaN
3.001635961921367 NaN NaN NaN NaN 0.0 1.0 0.15000000000000005 0.06818181818181812
4.001635961921367 NaN NaN NaN NaN 0.0 1.0 0.15000000000000005 0.06818181818181812
5.001635961921367 NaN NaN NaN NaN 0.0 1.0 0.15000000000000005 0.06818181818181812
6.001635961921367 NaN NaN NaN NaN 0.0 1.0 0.15000000000000005 0.06818181818181812
7.001635961921367 NaN NaN NaN NaN 0.0 1.0 0.15000000000000005 0.06818181818181812
8.001635961921366 -147 0.00 -14.0 801 0.0 1.0 0.16499999999999998 0.07098484848484841
9.001635961921366 -147 0.00 -14.0 801 0.0 1.0 0.16499999999999998 0.07098484848484841
10.001635961921366 -147 0.00 -14.0 801 0.0 1.0 0.16499999999999998 0.07098484848484841
11.001635961921366 -147 0.00 -14.0 801 0.0 1.0 0.16499999999999998 0.07098484848484841
12.001635961921366 -147 0.00 -14.0 801 0.0 1.0 0.16499999999999998 0.07098484848484841
13.001635961921366 -147 0.00 -23.9 1.91e+03 0.0 1.0 0.16 0.059999999999999935
14.001635961921366 -147 0.00 -23.9 1.91e+03 0.0 1.0 0.16 0.059999999999999935
15.001635961921366 -147 0.00 -23.9 1.91e+03 0.0 1.0 0.16 0.059999999999999935
16.001635961921366 -147 0.00 -23.9 1.91e+03 0.0 1.0 0.16 0.059999999999999935
17.001635961921366 -147 0.00 -23.9 1.91e+03 0.0 1.0 0.16 0.059999999999999935
18.001635961921366 -258 0.00 -18.7 1.72e+03 0.0 1.0 0.2 0.0858585858585858
19.001635961921366 -258 0.00 -18.7 1.72e+03 0.0 1.0 0.2 0.0858585858585858
20.001635961921366 -258 0.00 -18.7 1.72e+03 0.0 1.0 0.2 0.0858585858585858
21.001635961921366 -258 0.00 -18.7 1.72e+03 0.0 1.0 0.2 0.0858585858585858
22.001635961921366 -258 0.00 -18.7 1.72e+03 0.0 1.0 0.2 0.0858585858585858
23.001635961921366 -147 0.00 -12.5 730 0.0 1.0 0.175 0.067550505050505
24.001635961921366 -147 0.00 -12.5 730 0.0 1.0 0.175 0.067550505050505
25.001635961921366 -147 0.00 -12.5 730 0.0 1.0 0.175 0.067550505050505
26.001635961921366 -147 0.00 -12.5 730 0.0 1.0 0.175 0.067550505050505
27.001635961921366 -147 0.00 -12.5 730 0.0 1.0 0.175 0.067550505050505
28.001635961921366 -258 0.00 -19.9 1.73e+03 0.0 1.0 0.205 0.07623737373737367
29.001635961921366 -258 0.00 -19.9 1.73e+03 0.0 1.0 0.205 0.07623737373737367
30.001635961921366 -258 0.00 -19.9 1.73e+03 0.0 1.0 0.205 0.07623737373737367
31.001635961921366 -258 0.00 -19.9 1.73e+03 0.0 1.0 0.205 0.07623737373737367
32.001635961921366 -258 0.00 -19.9 1.73e+03 0.0 1.0 0.205 0.07623737373737367
33.001635961921366 -258 0.00 -16.3 1.57e+03 0.0 0.5 0.13000000000000003 0.04858585858585855
34.001635961921366 -258 0.00 -16.3 1.57e+03 0.0 0.5 0.13000000000000003 0.04858585858585855
35.001635961921366 -258 0.00 -16.3 1.57e+03 0.0 0.5 0.13000000000000003 0.04858585858585855
36.001635961921366 -258 0.00 -16.3 1.57e+03 0.0 0.5 0.13000000000000003 0.04858585858585855
37.001635961921366 -258 0.00 -16.3 1.57e+03 0.0 0.5 0.13000000000000003 0.04858585858585855
38.001635961921366 -258 -0.249 -20.0 1.80e+03 0.0 1.0 0.16499999999999998 0.07098484848484839
39.001635961921366 -258 -0.249 -20.0 1.80e+03 0.0 1.0 0.16499999999999998 0.07098484848484839
40.001635961921366 -258 -0.249 -20.0 1.80e+03 0.0 1.0 0.16499999999999998 0.07098484848484839
41.001635961921366 -258 -0.249 -20.0 1.80e+03 0.0 1.0 0.16499999999999998 0.07098484848484839
42.001635961921366 -258 -0.249 -20.0 1.80e+03 0.0 1.0 0.16499999999999998 0.07098484848484839
43.001635961921366 -258 0.00 -26.2 2.99e+03 0.0 1.0 0.14 0.055959595959595876
44.001635961921366 -258 0.00 -26.2 2.99e+03 0.0 1.0 0.14 0.055959595959595876
45.001635961921366 -258 0.00 -26.2 2.99e+03 0.0 1.0 0.14 0.055959595959595876
46.001635961921366 -258 0.00 -26.2 2.99e+03 0.0 1.0 0.14 0.055959595959595876
47.001635961921366 -258 0.00 -26.2 2.99e+03 0.0 1.0 0.14 0.055959595959595876
48.001635961921366 -258 0.00 -21.7 1.80e+03 0.0 1.0 0.19000000000000003 0.07464646464646461
49.001635961921366 -258 0.00 -21.7 1.80e+03 0.0 1.0 0.19000000000000003 0.07464646464646461
50.001635961921366 -258 0.00 -21.7 1.80e+03 0.0 1.0 0.19000000000000003 0.07464646464646461
#####################################################################
# End of data export. Simulation finished at: 2024-11-12T10:07+0000 #
#####################################################################
