#####################################################################
# Alchemist log file - simulation started at: 2024-10-24T10:52+0000 #
#####################################################################
#
# seed = 0.0, globalRound = 1
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] 
40.00113373326124 -0.0653 -0.0653 -0.0653 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.20500000000000002 0.07118686868686863
41.00113373326124 -0.0653 -0.0653 -0.0653 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.20500000000000002 0.07118686868686863
42.00113373326124 -0.0653 -0.0653 -0.0653 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.20500000000000002 0.07118686868686863
43.00113373326124 -0.0761 -0.0761 -0.0761 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.125 0.04734848484848485
44.00113373326124 -0.0761 -0.0761 -0.0761 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.125 0.04734848484848485
45.00113373326124 -0.0761 -0.0761 -0.0761 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.125 0.04734848484848485
46.00113373326124 -0.0761 -0.0761 -0.0761 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.125 0.04734848484848485
47.00113373326124 -0.0761 -0.0761 -0.0761 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.125 0.04734848484848485
48.00113373326124 -0.0881 -0.0881 -0.0881 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.15499999999999997 0.06411616161616158
49.00113373326124 -0.0881 -0.0881 -0.0881 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.15499999999999997 0.06411616161616158
50.00113373326124 -0.0881 -0.0881 -0.0881 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.15499999999999997 0.06411616161616158
51.00113373326124 -0.0881 -0.0881 -0.0881 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.15499999999999997 0.06411616161616158
52.00113373326124 -0.0881 -0.0881 -0.0881 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.15499999999999997 0.06411616161616158
53.00113373326124 -0.0969 -0.0969 -0.0969 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.18000000000000002 0.07838383838383838
54.00113373326124 -0.0969 -0.0969 -0.0969 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.18000000000000002 0.07838383838383838
55.00113373326124 -0.0969 -0.0969 -0.0969 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.18000000000000002 0.07838383838383838
56.00113373326124 -0.0969 -0.0969 -0.0969 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.18000000000000002 0.07838383838383838
57.00113373326124 -0.0969 -0.0969 -0.0969 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.18000000000000002 0.07838383838383838
58.00113373326124 -0.104 -0.104 -0.104 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.155 0.06916666666666663
59.00113373326124 -0.104 -0.104 -0.104 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.155 0.06916666666666663
60.00113373326124 -0.104 -0.104 -0.104 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.155 0.06916666666666663
61.00113373326124 -0.104 -0.104 -0.104 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.155 0.06916666666666663
62.00113373326124 -0.104 -0.104 -0.104 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.155 0.06916666666666663
63.00113373326124 -0.112 -0.112 -0.112 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.21500000000000002 0.0820959595959595
64.00113373326124 -0.112 -0.112 -0.112 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.21500000000000002 0.0820959595959595
65.00113373326124 -0.112 -0.112 -0.112 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.21500000000000002 0.0820959595959595
66.00113373326124 -0.112 -0.112 -0.112 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.21500000000000002 0.0820959595959595
67.00113373326124 -0.112 -0.112 -0.112 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.21500000000000002 0.0820959595959595
68.00113373326124 -0.116 -0.116 -0.116 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.17000000000000004 0.07686868686868698
69.00113373326124 -0.116 -0.116 -0.116 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.17000000000000004 0.07686868686868698
70.00113373326124 -0.116 -0.116 -0.116 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.17000000000000004 0.07686868686868698
71.00113373326124 -0.116 -0.116 -0.116 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.17000000000000004 0.07686868686868698
72.00113373326124 -0.116 -0.116 -0.116 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.17000000000000004 0.07686868686868698
73.00113373326124 -0.120 -0.120 -0.120 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.19499999999999998 0.07017676767676774
74.00113373326124 -0.120 -0.120 -0.120 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.19499999999999998 0.07017676767676774
75.00113373326124 -0.120 -0.120 -0.120 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.19499999999999998 0.07017676767676774
76.00113373326124 -0.120 -0.120 -0.120 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.19499999999999998 0.07017676767676774
77.00113373326124 -0.120 -0.120 -0.120 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.19499999999999998 0.07017676767676774
78.00113373326124 -0.123 -0.123 -0.123 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.10999999999999999 0.06353535353535354
79.00113373326124 -0.123 -0.123 -0.123 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.10999999999999999 0.06353535353535354
80.00113373326124 -0.123 -0.123 -0.123 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.10999999999999999 0.06353535353535354
81.00113373326124 -0.123 -0.123 -0.123 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.10999999999999999 0.06353535353535354
82.00113373326124 -0.123 -0.123 -0.123 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.10999999999999999 0.06353535353535354
83.00113373326124 -0.126 -0.126 -0.126 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.16499999999999998 0.07098484848484843
84.00113373326124 -0.126 -0.126 -0.126 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.16499999999999998 0.07098484848484843
85.00113373326124 -0.126 -0.126 -0.126 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.16499999999999998 0.07098484848484843
86.00113373326124 -0.126 -0.126 -0.126 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.16499999999999998 0.07098484848484843
87.00113373326124 -0.126 -0.126 -0.126 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.16499999999999998 0.07098484848484843
88.00113373326124 -0.127 -0.127 -0.127 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.11 0.043333333333333404
89.00113373326124 -0.127 -0.127 -0.127 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.11 0.043333333333333404
90.00113373326124 -0.127 -0.127 -0.127 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.11 0.043333333333333404
91.00113373326124 -0.127 -0.127 -0.127 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.11 0.043333333333333404
92.00113373326124 -0.127 -0.127 -0.127 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.5 0.11 0.043333333333333404
93.00113373326124 -0.128 -0.128 -0.128 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.09 0.05242424242424243
94.00113373326124 -0.128 -0.128 -0.128 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.09 0.05242424242424243
95.00113373326124 -0.128 -0.128 -0.128 0.00 NaN NaN NaN NaN NaN NaN NaN NaN 0.0 1.0 0.09 0.05242424242424243
