#####################################################################
# Alchemist log file - simulation started at: 2024-11-18T15:48+0000 #
#####################################################################
#
# seed = 0.0, alpha = 0.1, beta = 0.1, gamma = 0.8, globalRound = 38, randomAugmentedSeed = 48
#
# The columns have the following meaning: 
# time reward[min] reward[max] reward[mean] reward[variance] batteryCapacity[min] batteryCapacity[max] batteryCapacity[mean] batteryCapacity[variance] localComponentsPercentage[min] localComponentsPercentage[max] localComponentsPercentage[mean] localComponentsPercentage[variance] batteryPercentage[min] batteryPercentage[max] batteryPercentage[mean] batteryPercentage[variance] totalCost[min] totalCost[max] totalCost[mean] totalCost[variance] componentsInCloud[min] componentsInCloud[max] componentsInCloud[mean] componentsInCloud[sum] componentsInCloud[variance] componentsInInfrastructural[min] componentsInInfrastructural[max] componentsInInfrastructural[mean] componentsInInfrastructural[sum] componentsInInfrastructural[variance] loss[mean] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0 NaN NaN NaN NaN 0.0 NaN NaN
7.818389235250134E-4 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0 NaN NaN NaN NaN 0.0 NaN NaN
1.000781838923525 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN
2.0007818389235252 NaN NaN NaN NaN 4192.8378378378375 4192.8378378378375 4192.8378378378375 0.0 NaN NaN NaN NaN 99.82947232947232 99.82947232947232 99.82947232947232 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 NaN
3.0007818389235252 NaN NaN NaN NaN 4185.675675675675 4192.8378378378375 4190.221621621621 9.87776966155437 0.0 1.0 0.15999999999999998 0.07750000000000003 99.65894465894463 99.82947232947232 99.76718146718146 0.005599642665280985 0.0 0.2777777777777778 0.07222222222222222 0.013348765432098767 0.0 1.0 0.5 1.0 0.5 1.0 1.0 1.0 3.0 0.0 NaN
4.000781838923525 NaN NaN NaN NaN 4178.513513513512 4192.8378378378375 4189.216216216216 17.812576089603844 0.0 1.0 0.15999999999999998 0.07750000000000003 99.48841698841696 99.82947232947232 99.74324324324324 0.010097832250342833 0.16666666666666669 3.3333333333333335 1.3055555555555556 2.2538580246913575 8.0 12.0 10.0 20.0 8.0 5.0 11.0 7.333333333333333 22.0 10.333333333333332 NaN
5.000781838923525 NaN NaN NaN NaN 4171.35135135135 4192.8378378378375 4188.2108108108105 32.61699537375255 0.0 1.0 0.15999999999999998 0.07750000000000003 99.31788931788928 99.82947232947232 99.71930501930501 0.018490360189202745 0.3055555555555556 6.666666666666667 2.5388888888888888 8.786496913580248 8.0 12.0 10.0 20.0 8.0 5.0 11.0 7.333333333333333 22.0 10.333333333333332 NaN
6.000781838923525 NaN NaN NaN NaN 4164.189189189187 4192.8378378378375 4187.205405405405 54.29102751400047 0.0 1.0 0.15999999999999998 0.07750000000000003 99.14736164736159 99.82947232947232 99.69536679536678 0.030777226481861198 0.4444444444444445 10.0 3.772222222222222 19.611265432098765 8.0 12.0 10.0 20.0 8.0 5.0 11.0 7.333333333333333 22.0 10.333333333333332 NaN
7.000781838923525 NaN NaN NaN NaN 4157.027027027025 4192.8378378378375 4186.2 82.83467251034766 0.0 1.0 0.15999999999999998 0.07750000000000003 98.97683397683392 99.82947232947232 99.67142857142856 0.04695843112831594 0.5833333333333334 13.333333333333334 5.0055555555555555 34.728163580246914 8.0 12.0 10.0 20.0 8.0 5.0 11.0 7.333333333333333 22.0 10.333333333333332 NaN
8.000781838923526 -0.823 -0.0249 -0.239 0.0395 4154.324324324322 4192.8378378378375 4185.010810810811 94.53055758460948 0.0 0.5 0.26 0.06500000000000003 98.91248391248386 99.82947232947232 99.64311454311454 0.053588751465198904 0.6944444444444443 13.333333333333334 5.1000000000000005 34.90841049382716 0.0 1.0 0.5 1.0 0.5 0.0 5.0 2.3333333333333335 7.0 6.333333333333334 0.08063594996929169
9.000781838923526 -0.823 -0.0249 -0.239 0.0395 4151.62162162162 4192.8378378378375 4183.605405405406 106.65741417092403 0.0 0.5 0.26 0.06500000000000003 98.8481338481338 99.82947232947232 99.6096525096525 0.060463386718211866 0.7499999999999999 13.333333333333334 5.855555555555556 41.738194444444446 0.0 11.0 5.5 11.0 60.5 2.0 12.0 8.666666666666666 26.0 33.33333333333333 0.08063594996929169
10.000781838923526 -0.823 -0.0249 -0.239 0.0395 4148.918918918917 4192.8378378378375 4182.2 122.58266374482008 0.0 0.5 0.26 0.06500000000000003 98.78378378378375 99.82947232947232 99.57619047619048 0.06949130597778869 0.8055555555555555 15.555555555555555 6.611111111111111 51.92168209876543 0.0 11.0 5.5 11.0 60.5 2.0 12.0 8.666666666666666 26.0 33.33333333333333 0.08063594996929169
11.000781838923526 -0.823 -0.0249 -0.239 0.0395 4146.216216216215 4192.8378378378375 4180.794594594595 142.30630630629787 0.0 0.5 0.26 0.06500000000000003 98.7194337194337 99.82947232947232 99.54272844272845 0.08067250924393272 0.861111111111111 18.61111111111111 7.366666666666666 65.45887345679012 0.0 11.0 5.5 11.0 60.5 2.0 12.0 8.666666666666666 26.0 33.33333333333333 0.08063594996929169
12.000781838923526 -0.823 -0.0249 -0.239 0.0395 4143.513513513512 4192.8378378378375 4179.38918918919 165.82834185535708 0.0 0.5 0.26 0.06500000000000003 98.65508365508363 99.82947232947232 99.50926640926642 0.09400699651664214 0.9166666666666666 21.666666666666668 8.122222222222222 82.34976851851852 0.0 11.0 5.5 11.0 60.5 2.0 12.0 8.666666666666666 26.0 33.33333333333333 0.08063594996929169
13.000781838923526 -0.348 -0.0249 -0.139 0.0113 4140.81081081081 4192.8378378378375 4178.091891891892 185.06866325783804 0.0 0.5 0.22000000000000003 0.06416666666666666 98.59073359073356 99.82947232947232 99.47837837837838 0.10491420819605428 0.9166666666666666 21.666666666666668 8.200000000000001 81.20038580246914 0.0 0.0 0.0 0.0 0.0 0.0 14.0 4.666666666666666 14.0 65.33333333333334 0.033238593488931656
14.000781838923526 -0.348 -0.0249 -0.139 0.0113 4138.108108108107 4192.8378378378375 4176.902702702703 203.70392013633554 0.0 0.5 0.22000000000000003 0.06416666666666666 98.52638352638351 99.82947232947232 99.45006435006437 0.11547841277570185 0.9166666666666666 24.722222222222225 8.966666666666667 101.28680555555559 0.0 11.0 5.5 11.0 60.5 0.0 28.0 9.333333333333332 28.0 261.33333333333337 0.033238593488931656
15.000781838923526 -0.348 -0.0249 -0.139 0.0113 4135.405405405405 4192.8378378378375 4175.713513513514 226.0888726564201 0.0 0.5 0.22000000000000003 0.06416666666666666 98.46203346203345 99.82947232947232 99.42175032175034 0.1281682951567015 0.9166666666666666 27.777777777777782 9.733333333333334 124.87445987654326 0.0 11.0 5.5 11.0 60.5 0.0 28.0 9.333333333333332 28.0 261.33333333333337 0.033238593488931656
16.000781838923526 -0.348 -0.0249 -0.139 0.0113 4132.7027027027025 4192.8378378378375 4174.524324324325 252.2235208180912 0.0 0.5 0.22000000000000003 0.06416666666666666 98.3976833976834 99.82947232947232 99.39343629343631 0.14298385533905364 0.9166666666666666 30.83333333333334 10.500000000000002 151.96334876543216 0.0 11.0 5.5 11.0 60.5 0.0 28.0 9.333333333333332 28.0 261.33333333333337 0.033238593488931656
17.000781838923526 -0.348 -0.0249 -0.139 0.0113 4130.0 4192.8378378378375 4173.335135135136 282.10786462134973 0.0 0.5 0.22000000000000003 0.06416666666666666 98.33333333333333 99.82947232947232 99.36512226512228 0.15992509332276109 0.9166666666666666 33.8888888888889 11.26666666666667 182.55347222222233 0.0 11.0 5.5 11.0 60.5 0.0 28.0 9.333333333333332 28.0 261.33333333333337 0.033238593488931656
18.000781838923526 -0.832 -0.242 -0.570 0.0884 4130.0 4192.8378378378375 4172.183783783785 282.98587776963444 0.0 1.0 0.23999999999999994 0.10666666666666665 98.33333333333333 99.82947232947232 99.33770913770915 0.16042283320274062 0.9444444444444444 34.44444444444446 11.394444444444447 188.51172839506194 0.0 2.0 1.0 2.0 2.0 0.0 2.0 1.0 3.0 1.0 0.033401232212781906
19.000781838923526 -0.832 -0.242 -0.570 0.0884 4130.0 4192.8378378378375 4170.745945945947 280.5151570489163 0.0 1.0 0.23999999999999994 0.10666666666666665 98.33333333333333 99.82947232947232 99.30347490347492 0.15902219787353664 1.3611111111111112 36.66666666666668 12.005555555555556 210.98780864197545 0.0 8.0 4.0 8.0 32.0 0.0 15.0 10.0 30.0 75.0 0.033401232212781906
20.000781838923526 -0.832 -0.242 -0.570 0.0884 4130.0 4192.8378378378375 4169.308108108109 287.1565619673512 0.0 1.0 0.23999999999999994 0.10666666666666665 98.33333333333333 99.82947232947232 99.26924066924069 0.16278716664815854 1.7777777777777777 38.8888888888889 12.616666666666669 235.1729938271607 0.0 8.0 4.0 8.0 32.0 0.0 15.0 10.0 30.0 75.0 0.033401232212781906
21.000781838923526 -0.832 -0.242 -0.570 0.0884 4123.64864864865 4192.8378378378375 4167.870270270271 302.910092524939 0.0 1.0 0.23999999999999994 0.10666666666666665 98.18211068211072 99.82947232947232 99.23500643500645 0.1717177395266087 2.194444444444444 41.11111111111112 13.22777777777778 261.0672839506174 0.0 8.0 4.0 8.0 32.0 0.0 15.0 10.0 30.0 75.0 0.033401232212781906
22.000781838923526 -0.832 -0.242 -0.570 0.0884 4116.486486486488 4192.8378378378375 4166.432432432433 327.7757487216799 0.0 1.0 0.23999999999999994 0.10666666666666665 98.01158301158304 99.82947232947232 99.20077220077222 0.1858139165088888 2.6111111111111107 43.33333333333334 13.83888888888889 288.6706790123459 0.0 8.0 4.0 8.0 32.0 0.0 15.0 10.0 30.0 75.0 0.033401232212781906
23.000781838923526 -0.339 -0.0249 -0.111 0.0132 4113.783783783785 4192.8378378378375 4163.556756756758 330.31671536399836 0.0 1.0 0.5 0.0625 97.94723294723298 99.82947232947232 99.13230373230375 0.18725437378911292 2.6111111111111107 44.72222222222223 14.133333333333335 309.1834104938273 0.0 5.0 2.5 5.0 12.5 0.0 3.0 1.0 3.0 3.0 0.04586568847298622
24.000781838923526 -0.339 -0.0249 -0.111 0.0132 4111.081081081083 4192.8378378378375 4160.643243243245 330.07255904551704 0.0 1.0 0.5 0.0625 97.88288288288291 99.82947232947232 99.06293436293439 0.1871159631777324 2.6111111111111107 48.055555555555564 14.872222222222222 360.694290123457 0.0 12.0 6.0 12.0 72.0 0.0 10.0 4.333333333333333 13.0 26.333333333333332 0.04586568847298622
25.000781838923526 -0.339 -0.0249 -0.111 0.0132 4108.37837837838 4192.8378378378375 4157.729729729731 336.53366204040435 0.0 1.0 0.5 0.0625 97.81853281853287 99.82947232947232 98.99356499356503 0.19077871997755314 2.6111111111111107 51.3888888888889 15.611111111111112 416.43788580246934 0.0 12.0 6.0 12.0 72.0 0.0 10.0 4.333333333333333 13.0 26.333333333333332 0.04586568847298622
26.000781838923526 -0.339 -0.0249 -0.111 0.0132 4105.675675675678 4192.8378378378375 4154.816216216218 349.70002434865984 0.0 1.0 0.5 0.0625 97.7541827541828 99.82947232947232 98.92419562419566 0.19824264418858095 2.6111111111111107 54.722222222222236 16.35 476.41419753086444 0.0 12.0 6.0 12.0 72.0 0.0 10.0 4.333333333333333 13.0 26.333333333333332 0.04586568847298622
